dataset,case_id,http_success,finish_reason,is_length_capped,is_length_limit_termination,prompt_tokens,completion_tokens,e2e_s,ttft_s,tpot_s,token_count_source,answer_extraction,raw_response_file
humaneval,HumanEval/56,True,stop,False,False,121,975,16.818617660552263,0.6234056111425161,0.016627527771467913,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00000_7450b50dff3a.json.gz
humaneval,HumanEval/27,True,stop,False,False,77,1156,19.99639903381467,0.6245876178145409,0.016772131096104006,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00001_c717ba6bba56.json.gz
humaneval,HumanEval/38,True,stop,False,False,187,1394,24.304478228092194,0.6239615567028522,0.016999653030430252,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00002_bf9edc3d1d07.json.gz
humaneval,HumanEval/50,True,stop,False,False,120,2009,35.33454375527799,0.6246072873473167,0.017285824934228422,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00003_6222b9f3308a.json.gz
humaneval,HumanEval/117,True,stop,False,False,210,2411,42.856807639822364,0.42557596042752266,0.017606320198919022,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00004_09425deda7c0.json.gz
humaneval,HumanEval/0,True,stop,False,False,153,1295,23.78586796671152,0.16645741648972034,0.018253022063540805,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00005_d82bbe058f2c.json.gz
humaneval,HumanEval/10,True,stop,False,False,171,2629,46.88848749361932,0.623672803863883,0.017604571799754734,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00006_d505d82ce89e.json.gz
humaneval,HumanEval/111,True,stop,False,False,180,2907,52.20486310496926,0.623225748538971,0.01775004726649356,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00007_1bbc11f23e15.json.gz
humaneval,HumanEval/26,True,stop,False,False,113,2324,42.80598155781627,0.11933737806975842,0.01837565397320125,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00008_76934f5896a1.json.gz
humaneval,HumanEval/101,True,stop,False,False,145,2019,37.34504347294569,0.16638628020882607,0.01842351694387357,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00009_a6de4bdc99c4.json.gz
humaneval,HumanEval/115,True,stop,False,False,355,1018,19.187121251598,0.28052660822868347,0.018590555204886252,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00010_80c54a50a177.json.gz
humaneval,HumanEval/161,True,stop,False,False,140,1593,29.880382876843214,0.16788405552506447,0.018663629912888283,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00011_1c7893647126.json.gz
humaneval,HumanEval/127,True,stop,False,False,283,3664,66.37385653704405,0.6264303214848042,0.01794906530591298,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00012_98b9a749f939.json.gz
humaneval,HumanEval/28,True,stop,False,False,86,390,7.446950932964683,0.13818680495023727,0.018788596730114255,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00013_88f399f279a6.json.gz
humaneval,HumanEval/29,True,stop,False,False,116,768,13.80357706733048,0.1358505766838789,0.017819721630569232,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00014_1047455a5140.json.gz
humaneval,HumanEval/159,True,stop,False,False,319,1652,30.54017172381282,0.2778604067862034,0.018329685837084563,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00015_13235ce0ad4b.json.gz
humaneval,HumanEval/78,True,stop,False,False,344,1172,20.996200300753117,0.24201670475304127,0.0177234701929975,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00016_09b43a58cf00.json.gz
humaneval,HumanEval/69,True,stop,False,False,194,2497,45.68325733207166,0.12220758758485317,0.018253625698912986,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00017_919a468f56b8.json.gz
humaneval,HumanEval/87,True,stop,False,False,288,2277,41.55621215701103,0.22999772801995277,0.018157387710453023,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00018_8aac81389452.json.gz
humaneval,HumanEval/105,True,stop,False,False,308,1591,28.842929815873504,0.2754643876105547,0.01796695938884462,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00019_be1eb3b9b637.json.gz
humaneval,HumanEval/61,True,stop,False,False,118,932,16.988105546683073,0.1359323486685753,0.018101152736857678,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00020_90114d6ec6ea.json.gz
humaneval,HumanEval/95,True,stop,False,False,202,2114,38.587798085063696,0.166996693238616,0.018183057923248973,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00021_f8853c706dc1.json.gz
humaneval,HumanEval/55,True,stop,False,False,84,2064,38.3376003485173,0.16748756356537342,0.018502235959744026,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00022_e5f5630acd2a.json.gz
humaneval,HumanEval/123,True,stop,False,False,261,3023,56.02848047576845,0.2609650921076536,0.01845384360809424,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00023_de60c03a27b2.json.gz
humaneval,HumanEval/60,True,stop,False,False,133,1003,19.56329034641385,0.18721865117549896,0.01933739690143548,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00024_3cb575d5ce14.json.gz
humaneval,HumanEval/19,True,stop,False,False,134,1063,21.173276526853442,0.1975273434072733,0.01975117625559903,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00025_2a6bdf94f301.json.gz
humaneval,HumanEval/39,True,stop,False,False,128,4884,91.92647190205753,0.11787799373269081,0.018801678047987883,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00026_72b6acc2e3e0.json.gz
humaneval,HumanEval/71,True,stop,False,False,152,3624,69.87448193505406,0.18039755150675774,0.019236567591373807,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00027_af92df87a5f0.json.gz
humaneval,HumanEval/11,True,stop,False,False,111,1963,40.63749402761459,0.12708360329270363,0.020647507861530016,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00028_35a3880928bb.json.gz
humaneval,HumanEval/113,True,stop,False,False,211,5424,107.82132960110903,0.18161500617861748,0.019848739552817705,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00029_987722152444.json.gz
humaneval,HumanEval/20,True,stop,False,False,195,2775,57.975333504378796,0.1742283534258604,0.02083673581505153,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00030_1aa142d0cf9e.json.gz
humaneval,HumanEval/86,True,stop,False,False,159,4515,92.07696550898254,0.18654651381075382,0.020356760964814306,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00031_5a55b87f192c.json.gz
humaneval,HumanEval/65,True,stop,False,False,115,2744,57.660501739010215,0.16219926625490189,0.02096183101449337,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00032_dada80a836c3.json.gz
humaneval,HumanEval/112,True,stop,False,False,191,1212,26.127290381118655,0.22631651163101196,0.02138808742319376,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00033_b92a70d32396.json.gz
humaneval,HumanEval/118,True,stop,False,False,178,8079,158.64575306884944,0.1829881425946951,0.019616583922537106,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00034_8d3b1d30f7cd.json.gz
humaneval,HumanEval/143,True,stop,False,False,178,1811,36.900914549827576,0.21588414162397385,0.02026797260121746,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00035_42fd167ecaff.json.gz
humaneval,HumanEval/138,True,stop,False,False,106,1414,28.03963667526841,0.12937685661017895,0.019752483948095,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00036_ea1e33aa7932.json.gz
humaneval,HumanEval/36,True,stop,False,False,113,2267,45.923265151679516,0.17562272399663925,0.020188721283178675,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00037_18187a5fd2c4.json.gz
humaneval,HumanEval/43,True,stop,False,False,186,4450,92.04977060481906,0.20374948903918266,0.02064419445173744,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00038_b952eba2afb8.json.gz
humaneval,HumanEval/5,True,stop,False,False,121,1070,21.97440968081355,0.14433667808771133,0.02042102245343858,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00039_9b895318d16d.json.gz
humaneval,HumanEval/121,True,stop,False,False,132,1305,26.721509078517556,0.1936991699039936,0.020343412506605492,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00040_ff54ab50a194.json.gz
humaneval,HumanEval/92,True,stop,False,False,164,2694,56.84066196717322,0.20414107851684093,0.02103101406931169,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00041_15dc2688a28c.json.gz
humaneval,HumanEval/150,True,stop,False,False,119,2156,45.997394382953644,0.1266467608511448,0.021285729755035964,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00042_5e58e34de9c6.json.gz
humaneval,HumanEval/67,True,stop,False,False,255,865,19.867955025285482,0.1349831372499466,0.022839087833374464,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00043_befb16da7177.json.gz
humaneval,HumanEval/140,True,stop,False,False,135,3491,76.20825477689505,0.208418944850564,0.021776457258465467,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00044_27926e975fba.json.gz
humaneval,HumanEval/153,True,stop,False,False,306,1835,43.06937419436872,0.2978269327431917,0.023321454341126244,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00045_8bce31c2a19b.json.gz
humaneval,HumanEval/147,True,stop,False,False,197,6446,139.66153624095023,0.22329696640372276,0.021635103068199612,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00046_630c2bdf602e.json.gz
humaneval,HumanEval/98,True,stop,False,False,101,1120,27.12464310415089,0.13970531709492207,0.024115225904428928,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00047_5d7b8701f462.json.gz
humaneval,HumanEval/146,True,stop,False,False,158,2041,49.18328722566366,0.18577225506305695,0.024018389691470885,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00048_b62e6dfdf3e8.json.gz
humaneval,HumanEval/59,True,stop,False,False,98,4192,97.68640861660242,0.13114668987691402,0.02327732329437497,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00049_5627e560e049.json.gz
humaneval,HumanEval/48,True,stop,False,False,100,810,19.76648971065879,0.13911121524870396,0.024261283677886384,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00050_37027f11c3f2.json.gz
humaneval,HumanEval/76,True,stop,False,False,171,8395,187.7078657746315,0.267463942989707,0.022330283754067405,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00051_415c53a6a1dd.json.gz
humaneval,HumanEval/30,True,stop,False,False,147,782,19.33493591286242,0.18704787641763687,0.02451714217214441,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00052_8cdac6a1f421.json.gz
humaneval,HumanEval/64,True,stop,False,False,155,3682,89.45654769800603,0.20483213290572166,0.02424659482887811,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00053_4176f7e613d6.json.gz
humaneval,HumanEval/133,True,stop,False,False,190,2044,50.01408106274903,0.20632785372436047,0.024379712779747757,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00054_ea9a3195a0d6.json.gz
humaneval,HumanEval/13,True,stop,False,False,101,1617,40.72795602492988,0.13930366933345795,0.025116740319057192,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00055_30d9e20e8990.json.gz
humaneval,HumanEval/114,True,stop,False,False,117,2375,60.50692009553313,0.16013768315315247,0.025419874647169327,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00056_5ea221c20673.json.gz
humaneval,HumanEval/72,True,stop,False,False,259,734,20.011938014999032,0.28662475757300854,0.026910386435779022,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00057_3cb279e9e6cd.json.gz
humaneval,HumanEval/97,True,stop,False,False,142,1316,36.58041314035654,0.14763467572629452,0.02770553495409144,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00058_c0175f9c7e3c.json.gz
humaneval,HumanEval/21,True,stop,False,False,154,1422,41.85996777191758,0.1839532069861889,0.02932865205132399,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00059_078c4f5abd47.json.gz
humaneval,HumanEval/46,True,stop,False,False,201,2936,85.45031191967428,0.17111177742481232,0.02905594553398619,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00060_21562bab20c9.json.gz
humaneval,HumanEval/45,True,stop,False,False,75,521,16.192193256691098,0.20524884946644306,0.030744123860047413,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00061_1ae095300e26.json.gz
humaneval,HumanEval/109,True,stop,False,False,328,8422,223.70742361061275,0.32205767929553986,0.026527177999206415,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00062_e67867603385.json.gz
humaneval,HumanEval/99,True,stop,False,False,193,7158,197.74174490384758,0.2521372679620981,0.02759390912894865,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00063_0508ba89b76d.json.gz
humaneval,HumanEval/74,True,stop,False,False,222,1056,32.135434130206704,0.20531837828457355,0.03026551256106363,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00064_0a2c7ab26083.json.gz
humaneval,HumanEval/136,True,stop,False,False,167,1461,43.90266221947968,0.20945594646036625,0.029926853611657065,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00065_2bacb4324f4d.json.gz
humaneval,HumanEval/8,True,stop,False,False,141,856,25.795667432248592,0.20220895111560822,0.02993386956857659,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00066_b22cfd16fc05.json.gz
humaneval,HumanEval/12,True,stop,False,False,131,1245,38.44878927245736,0.20393750071525574,0.03074344997728465,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00067_2b8c00100b37.json.gz
humaneval,HumanEval/89,True,stop,False,False,139,2012,61.63201324082911,0.2584093026816845,0.03051894775641344,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00068_f2913d362e99.json.gz
humaneval,HumanEval/116,True,stop,False,False,199,11615,327.520793357864,0.18742624670267105,0.02818437808775283,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00069_f38a92749b75.json.gz
humaneval,HumanEval/6,True,stop,False,False,141,2276,71.89839655533433,0.22287087328732014,0.03150572557452616,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00070_6364cd9f53b0.json.gz
humaneval,HumanEval/82,True,stop,False,False,110,1756,55.83984932489693,0.13255508802831173,0.031742047998215735,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00071_85e0fd8ca189.json.gz
humaneval,HumanEval/132,True,stop,False,False,162,10601,306.8639059830457,0.18581724911928177,0.028931895163577963,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00072_36ba440d5811.json.gz
humaneval,HumanEval/102,True,stop,False,False,128,2382,72.8939521368593,0.20652728900313377,0.03052810787394211,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00073_5311815abde9.json.gz
humaneval,HumanEval/154,True,stop,False,False,158,3713,115.79423101432621,0.20737643726170063,0.03113870004770057,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00074_e2b3eb229c74.json.gz
humaneval,HumanEval/18,True,stop,False,False,117,2880,88.92675117962062,0.2656262293457985,0.030795805818087815,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00075_f69fb827d88c.json.gz
humaneval,HumanEval/126,True,stop,False,False,278,7007,216.54733008891344,0.27084549702703953,0.0308701805012684,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00076_8ddcce2d2193.json.gz
humaneval,HumanEval/53,True,stop,False,False,83,293,8.936430724337697,0.16135001555085182,0.030051646262968648,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00077_ea2b328029aa.json.gz
humaneval,HumanEval/33,True,stop,False,False,179,2675,82.04362460784614,0.2811566460877657,0.03057683917792011,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00078_c642d94bf7f4.json.gz
humaneval,HumanEval/88,True,stop,False,False,232,1432,43.76761573553085,0.22856106236577034,0.03042561472618105,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00079_30b73fd32907.json.gz
humaneval,HumanEval/54,True,stop,False,False,169,3460,105.76089848950505,0.20776114240288734,0.03051550660511771,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00080_43af75a2be15.json.gz
humaneval,HumanEval/57,True,stop,False,False,120,1468,44.57794964686036,0.16174725256860256,0.030276893247642645,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00081_c0526150ecf7.json.gz
humaneval,HumanEval/52,True,stop,False,False,113,830,25.102901553735137,0.1776234731078148,0.030066680435014863,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00082_312ee7854ea2.json.gz
humaneval,HumanEval/156,True,stop,False,False,137,1796,54.15239727310836,0.2028331384062767,0.0300554674845137,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00083_647ac9b2c0d2.json.gz
humaneval,HumanEval/9,True,stop,False,False,129,1291,39.46305056847632,0.2495577037334442,0.030398056484296804,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00084_5b37be80ca2f.json.gz
humaneval,HumanEval/106,True,stop,False,False,155,2999,91.24675960280001,0.24935014359652996,0.030352704956372076,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00085_783363f7c434.json.gz
humaneval,HumanEval/110,True,stop,False,False,226,2788,85.31389692239463,0.20244715549051762,0.03053873332145824,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00086_d1bd70c07bc1.json.gz
