dataset,case_id,http_success,finish_reason,is_length_capped,prompt_tokens,completion_tokens,e2e_s,ttft_s,tpot_s,token_count_source,answer_extraction,raw_response_file
math_500,test/intermediate_algebra/1232.json,True,stop,False,56,2749,43.15447291173041,0.15345300547778606,0.015648114958607212,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00000_e59e6956285a.json.gz
math_500,test/intermediate_algebra/986.json,True,stop,False,106,4791,82.08780151605606,0.14988163486123085,0.017106037553485352,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00001_c25cf2cd7750.json.gz
math_500,test/number_theory/1185.json,True,stop,False,86,7492,140.52913751639426,0.15398302301764488,0.018739174274913444,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00002_4e9cb7337435.json.gz
math_500,test/prealgebra/1640.json,True,stop,False,59,3671,90.42867788858712,0.1695490926504135,0.02459376806428793,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00003_2108e189b5b8.json.gz
math_500,test/precalculus/989.json,True,stop,False,75,10136,236.694468697533,0.11849740706384182,0.02334247373364274,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00004_efcc89122da6.json.gz
math_500,test/prealgebra/954.json,True,stop,False,77,2082,58.46415561251342,0.127640750259161,0.02803292400877187,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00005_abc07b8cf6cc.json.gz
math_500,test/prealgebra/1356.json,True,stop,False,98,1297,34.410514110699296,0.18019419349730015,0.026412283886729934,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00006_ee962a54b3f1.json.gz
math_500,test/geometry/434.json,True,stop,False,173,14837,332.0121944565326,0.15336738340556622,0.022368483895465557,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00007_397436299cf0.json.gz
math_500,test/algebra/1143.json,True,stop,False,66,3042,75.77162461541593,0.12066191248595715,0.024877001875346916,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00008_ecff3a7b6952.json.gz
math_500,test/prealgebra/2086.json,True,stop,False,56,2708,63.37367000617087,0.2026733048260212,0.023336164278295105,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00009_c41d44d9e74f.json.gz
math_500,test/number_theory/515.json,True,stop,False,42,2885,72.09368548728526,0.1405771505087614,0.024949066690976594,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00010_58b5d6e1e2d0.json.gz
math_500,test/number_theory/466.json,True,stop,False,56,1979,51.05954695492983,0.11882437951862812,0.02575365145369626,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00011_2a302ad965bf.json.gz
math_500,test/intermediate_algebra/966.json,True,stop,False,71,6406,160.7417809870094,0.12525339983403683,0.025076741231409114,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00012_073583dd5bb3.json.gz
math_500,test/precalculus/779.json,True,stop,False,58,1384,37.00851642340422,0.12093668803572655,0.026672147314077,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00013_1ce45577d321.json.gz
math_500,test/geometry/880.json,True,length,True,167,16384,408.16849734820426,0.1600561235100031,0.02490437900413198,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00014_ddc27cd7dc7e.json.gz
math_500,test/intermediate_algebra/1168.json,True,stop,False,77,2494,46.93706424720585,0.1509041152894497,0.01876701168548592,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00015_a6903a5c173f.json.gz
math_500,test/prealgebra/1804.json,True,stop,False,338,1543,29.22167390026152,0.14354822412133217,0.01885740964730233,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00016_479e865ce381.json.gz
math_500,test/precalculus/1252.json,True,stop,False,84,3658,64.97571282833815,0.21381144039332867,0.01770902416952278,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00017_c6413f755504.json.gz
math_500,test/intermediate_algebra/591.json,True,stop,False,72,3821,84.01963872089982,0.1252504624426365,0.02196188174305162,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00018_e163cbd7af39.json.gz
math_500,test/number_theory/203.json,True,stop,False,47,10712,233.10517706349492,0.12328687682747841,0.02175164692247852,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00019_19407cc7c7e6.json.gz
math_500,test/intermediate_algebra/128.json,True,stop,False,76,6448,146.54695867933333,0.11037029884755611,0.022713911645802044,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00020_4f9056e89995.json.gz
math_500,test/algebra/1937.json,True,stop,False,47,1808,42.64463654719293,0.15904258377850056,0.02351167347172907,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00021_1f48800fb5fe.json.gz
math_500,test/number_theory/89.json,True,stop,False,52,5268,127.48471838235855,0.14540728367865086,0.024176820030127187,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00022_e91cf3157bab.json.gz
math_500,test/geometry/226.json,True,stop,False,202,4464,106.958421792835,0.1839244570583105,0.02392437762396968,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00023_c84d627b4682.json.gz
math_500,test/intermediate_algebra/1572.json,True,stop,False,89,1765,44.375704161822796,0.12124981172382832,0.0250875591553849,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00024_15c33d18eed8.json.gz
math_500,test/prealgebra/1747.json,True,stop,False,43,1645,40.592331916093826,0.1443205438554287,0.02460341324345401,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00025_90767d48348b.json.gz
math_500,test/algebra/2157.json,True,stop,False,48,1547,40.52005941234529,0.12983987107872963,0.026125627128891694,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00026_9307f340856a.json.gz
math_500,test/number_theory/417.json,True,length,True,42,16384,368.8691513631493,0.11981229484081268,0.022508047309302844,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00027_4f43be77467d.json.gz
math_500,test/number_theory/357.json,True,stop,False,49,3466,83.86841567978263,0.14006785117089748,0.024164025347362693,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00028_d6bd4523eac1.json.gz
math_500,test/number_theory/1065.json,True,stop,False,64,3667,84.6420419011265,0.1278516836464405,0.023053516153158773,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00029_54bcba5b150e.json.gz
math_500,test/geometry/967.json,True,stop,False,57,1727,26.95749492943287,0.22243758477270603,0.015489604487056873,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00030_2f6421c7d2c5.json.gz
math_500,test/intermediate_algebra/960.json,True,stop,False,91,11954,191.79489294067025,0.13642173074185848,0.01603434043419463,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00031_e917e86e556e.json.gz
