dataset,case_id,http_success,finish_reason,is_length_capped,prompt_tokens,completion_tokens,e2e_s,ttft_s,tpot_s,token_count_source,answer_extraction,raw_response_file
math_500,test/intermediate_algebra/1232.json,True,stop,False,56,2571,34.59007298015058,0.10613407380878925,0.013417875060833381,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00000_e59e6956285a.json.gz
math_500,test/intermediate_algebra/986.json,True,stop,False,106,4758,67.28028458729386,0.12273545004427433,0.014117626474090728,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00001_c25cf2cd7750.json.gz
math_500,test/number_theory/1185.json,True,stop,False,86,5408,77.07557311281562,0.1203021239489317,0.014232526537611742,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00002_4e9cb7337435.json.gz
math_500,test/prealgebra/1640.json,True,stop,False,59,2137,32.018346497789025,0.10917868465185165,0.014938748976187815,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00003_2108e189b5b8.json.gz
math_500,test/prealgebra/954.json,True,stop,False,77,2229,35.87765238620341,0.09442838095128536,0.016060693000561996,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00004_abc07b8cf6cc.json.gz
math_500,test/prealgebra/1356.json,True,stop,False,98,1477,25.584295669570565,0.10854760557413101,0.017259991913276717,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00005_ee962a54b3f1.json.gz
math_500,test/algebra/1143.json,True,stop,False,66,3254,61.30835712701082,0.09789866022765636,0.01881661803467051,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00006_ecff3a7b6952.json.gz
math_500,test/geometry/434.json,True,length,True,173,16384,270.0094512645155,0.11956853978335857,0.01647377664192957,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00007_397436299cf0.json.gz
math_500,test/precalculus/989.json,True,stop,False,75,14430,246.2658294774592,0.08839976042509079,0.01706129528844924,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00008_efcc89122da6.json.gz
math_500,test/prealgebra/2086.json,True,stop,False,56,2206,37.274120792746544,0.20964276045560837,0.016809287089474347,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00009_c41d44d9e74f.json.gz
math_500,test/number_theory/466.json,True,stop,False,56,2512,43.74382344819605,0.12044285610318184,0.017372911426560285,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00010_2a302ad965bf.json.gz
math_500,test/geometry/880.json,True,length,True,167,16384,284.3298994451761,0.12583381868898869,0.017347498359670827,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00011_ddc27cd7dc7e.json.gz
math_500,test/number_theory/515.json,True,stop,False,42,4565,77.07843487150967,0.19577700272202492,0.016845455273616926,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00012_58b5d6e1e2d0.json.gz
math_500,test/precalculus/779.json,True,stop,False,58,2156,32.23212553188205,0.21604283712804317,0.014856650902438054,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00013_1ce45577d321.json.gz
math_500,test/intermediate_algebra/1168.json,True,stop,False,77,1983,29.762108486145735,0.1417251080274582,0.014944693934469363,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00014_a6903a5c173f.json.gz
math_500,test/intermediate_algebra/966.json,True,stop,False,71,10190,173.5595199353993,0.13301775231957436,0.017020954184226098,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00015_073583dd5bb3.json.gz
math_500,test/prealgebra/1804.json,True,stop,False,338,1522,21.811610898002982,0.17927798256278038,0.014222441101538594,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00016_479e865ce381.json.gz
math_500,test/precalculus/1252.json,True,stop,False,84,4058,60.23132680170238,0.09213190898299217,0.014823562951126298,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00017_c6413f755504.json.gz
math_500,test/number_theory/203.json,True,stop,False,47,7736,115.34785692952573,0.11676380224525928,0.014897361748840397,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00018_19407cc7c7e6.json.gz
math_500,test/intermediate_algebra/591.json,True,stop,False,72,4179,63.661903297528625,0.10302472300827503,0.015212752171977106,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00019_e163cbd7af39.json.gz
math_500,test/intermediate_algebra/128.json,True,stop,False,76,6854,105.0067837163806,0.08948863111436367,0.015309688470051982,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00020_4f9056e89995.json.gz
math_500,test/number_theory/89.json,True,stop,False,52,5128,79.86407784745097,0.13029553554952145,0.015551742210240188,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00021_e91cf3157bab.json.gz
math_500,test/number_theory/417.json,True,stop,False,42,11458,174.89990923181176,0.08992934599518776,0.015257919166083317,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00022_4f43be77467d.json.gz
math_500,test/algebra/1937.json,True,stop,False,47,1707,27.021603755652905,0.10965357534587383,0.01577488287239568,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00023_1f48800fb5fe.json.gz
math_500,test/intermediate_algebra/1572.json,True,stop,False,89,1825,26.702012319117785,0.12846071645617485,0.014568833115494303,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00024_15c33d18eed8.json.gz
math_500,test/geometry/226.json,True,stop,False,202,4013,61.54367153532803,0.17233403585851192,0.015296943544234675,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00025_c84d627b4682.json.gz
math_500,test/prealgebra/1747.json,True,stop,False,43,1804,24.322289530187845,0.16581672430038452,0.013397932781967532,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00026_90767d48348b.json.gz
math_500,test/algebra/2157.json,True,stop,False,48,2039,27.380145398899913,0.093642832711339,0.013388862888218143,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00027_9307f340856a.json.gz
math_500,test/number_theory/357.json,True,stop,False,49,3491,47.23748442903161,0.09533003345131874,0.013507780629106101,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00028_d6bd4523eac1.json.gz
math_500,test/number_theory/1065.json,True,stop,False,64,3215,43.34487961232662,0.08456600829958916,0.013459960673312704,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00029_54bcba5b150e.json.gz
math_500,test/geometry/967.json,True,stop,False,57,1963,26.388753201812506,0.08556664548814297,0.01340631322952312,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00030_2f6421c7d2c5.json.gz
math_500,test/intermediate_algebra/960.json,True,stop,False,91,11844,159.03603563085198,0.08337121084332466,0.013421655359284697,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00031_e917e86e556e.json.gz
