dataset,case_id,http_success,finish_reason,is_length_capped,is_length_limit_termination,prompt_tokens,completion_tokens,e2e_s,ttft_s,tpot_s,token_count_source,answer_extraction,raw_response_file
math_500,test/intermediate_algebra/1232.json,True,stop,False,False,56,2160,37.21969652362168,0.18668279610574245,0.0171528548992663,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00000_e59e6956285a.json.gz
math_500,test/prealgebra/954.json,True,stop,False,False,77,2251,39.08589204587042,0.18508362211287022,0.01728924818833669,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00001_abc07b8cf6cc.json.gz
math_500,test/prealgebra/1640.json,True,stop,False,False,59,2862,51.73770661279559,0.18585522286593914,0.01801882257599778,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00002_2108e189b5b8.json.gz
math_500,test/prealgebra/1356.json,True,stop,False,False,98,1785,39.06660504080355,0.10967833176255226,0.02183684232569563,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00003_ee962a54b3f1.json.gz
math_500,test/intermediate_algebra/986.json,True,stop,False,False,106,5298,111.73779309168458,0.18846610374748707,0.021058962995646045,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00004_c25cf2cd7750.json.gz
math_500,test/algebra/1143.json,True,stop,False,False,66,3179,76.29044831357896,0.10486139729619026,0.023972808973027934,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00005_ecff3a7b6952.json.gz
math_500,test/number_theory/1185.json,True,stop,False,False,86,5534,118.03155818395317,0.18725410290062428,0.021298446427083416,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00006_4e9cb7337435.json.gz
math_500,test/prealgebra/2086.json,True,stop,False,False,56,2498,65.40306720137596,0.11395848914980888,0.026147019908781,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00007_c41d44d9e74f.json.gz
math_500,test/intermediate_algebra/966.json,True,stop,False,False,71,4221,107.59116622805595,0.10822629556059837,0.025469890979264304,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00008_073583dd5bb3.json.gz
math_500,test/number_theory/466.json,True,stop,False,False,56,2161,58.35978331416845,0.11662203073501587,0.026964426520108074,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00009_2a302ad965bf.json.gz
math_500,test/number_theory/515.json,True,stop,False,False,42,2605,70.94560177251697,0.14814684353768826,0.027187962722342272,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00010_58b5d6e1e2d0.json.gz
math_500,test/precalculus/779.json,True,stop,False,False,58,2107,60.29101968742907,0.13208676874637604,0.028565495213049713,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00011_1ce45577d321.json.gz
math_500,test/intermediate_algebra/1168.json,True,stop,False,False,77,2040,60.39321656152606,0.1230119988322258,0.029558707485381967,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00012_a6903a5c173f.json.gz
math_500,test/prealgebra/1804.json,True,stop,False,False,338,2018,66.86851242743433,0.1614418886601925,0.03307241970192074,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00013_479e865ce381.json.gz
math_500,test/precalculus/1252.json,True,stop,False,False,84,3679,123.83216648548841,0.12243329547345638,0.03363505524470227,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00014_c6413f755504.json.gz
math_500,test/precalculus/989.json,True,stop,False,False,75,11782,313.83660382963717,0.14087626710534096,0.026627258090360057,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00015_efcc89122da6.json.gz
math_500,test/intermediate_algebra/591.json,True,stop,False,False,72,2675,98.23065623268485,0.1510174795985222,0.03667899728986026,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00016_e163cbd7af39.json.gz
math_500,test/geometry/434.json,True,stop,False,False,173,13698,383.97834851406515,0.18646641448140144,0.02802014179014264,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00017_397436299cf0.json.gz
math_500,test/number_theory/203.json,True,stop,False,False,47,8459,276.1453771702945,0.13973971642553806,0.03263249437856101,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00018_19407cc7c7e6.json.gz
math_500,test/algebra/1937.json,True,stop,False,False,47,1841,63.85446057654917,0.1936438661068678,0.03459826995132734,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00019_1f48800fb5fe.json.gz
math_500,test/intermediate_algebra/128.json,True,stop,False,False,76,6053,214.0592029709369,0.13947681710124016,0.03534694748080563,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00020_4f9056e89995.json.gz
math_500,test/prealgebra/1747.json,True,stop,False,False,43,1257,42.01451674476266,0.19514783844351768,0.03329567588082734,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00021_90767d48348b.json.gz
math_500,test/intermediate_algebra/1572.json,True,stop,False,False,89,1664,55.702585980296135,0.21451346389949322,0.03336624925820604,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00022_15c33d18eed8.json.gz
math_500,test/geometry/226.json,True,stop,False,False,202,4754,165.57902193628252,0.23700986988842487,0.03478687398830088,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00023_c84d627b4682.json.gz
math_500,test/algebra/2157.json,True,stop,False,False,48,1684,57.36152581870556,0.13264248333871365,0.03400408992000407,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00024_9307f340856a.json.gz
math_500,test/number_theory/89.json,True,stop,False,False,52,5573,194.78278089687228,0.1566633377224207,0.034929310401857476,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00025_e91cf3157bab.json.gz
math_500,test/number_theory/417.json,True,stop,False,False,42,9601,328.7645181976259,0.12182564847171307,0.03423361380720356,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00026_4f43be77467d.json.gz
math_500,test/number_theory/357.json,True,stop,False,False,49,3088,102.85463695600629,0.14276082813739777,0.033272392655610265,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00027_d6bd4523eac1.json.gz
math_500,test/geometry/967.json,True,stop,False,False,57,2506,83.03936038166285,0.14129059202969074,0.033093041832188884,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00028_2f6421c7d2c5.json.gz
math_500,test/geometry/1108.json,True,stop,False,False,85,2476,81.97804897651076,0.1484151091426611,0.03306247833024974,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00029_14f6b46b807c.json.gz
math_500,test/number_theory/1065.json,True,stop,False,False,64,4275,143.10437021777034,0.17182322032749653,0.03344233668634601,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00030_54bcba5b150e.json.gz
