dataset,case_id,http_success,finish_reason,is_length_capped,prompt_tokens,completion_tokens,e2e_s,ttft_s,tpot_s,token_count_source,answer_extraction,raw_response_file
math_500,test/intermediate_algebra/1232.json,True,stop,False,56,3133,48.9989028852433,0.16703595966100693,0.015591272964745303,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00000_e59e6956285a.json.gz
math_500,test/number_theory/1185.json,True,stop,False,86,5818,96.3592256065458,0.16774005442857742,0.016536270509217334,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00001_4e9cb7337435.json.gz
math_500,test/intermediate_algebra/986.json,True,stop,False,106,6025,100.0795481596142,0.16391820833086967,0.016586259952072267,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00002_c25cf2cd7750.json.gz
math_500,test/prealgebra/1640.json,True,stop,False,59,2607,46.1035317517817,0.176648311316967,0.017623516285673345,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00003_2108e189b5b8.json.gz
math_500,test/prealgebra/954.json,True,stop,False,77,2175,43.088539807125926,0.15174875780940056,0.01975013387733051,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00004_abc07b8cf6cc.json.gz
math_500,test/prealgebra/1356.json,True,stop,False,98,1310,27.356568347662687,0.13960582576692104,0.02079217916111212,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00005_ee962a54b3f1.json.gz
math_500,test/precalculus/989.json,True,stop,False,75,12039,237.238673241809,0.14302461221814156,0.019695601314968506,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00006_efcc89122da6.json.gz
math_500,test/algebra/1143.json,True,stop,False,66,3854,87.1820687931031,0.16990206763148308,0.0225829656697305,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00007_ecff3a7b6952.json.gz
math_500,test/geometry/434.json,True,length,True,173,16384,312.4693582504988,0.16678488068282604,0.019062599851664284,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00008_397436299cf0.json.gz
math_500,test/prealgebra/2086.json,True,stop,False,56,2676,52.72144457139075,0.1789687816053629,0.019642047024218835,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00009_c41d44d9e74f.json.gz
math_500,test/number_theory/515.json,True,stop,False,42,4430,88.97894434817135,0.2606387734413147,0.020031227269074293,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00010_58b5d6e1e2d0.json.gz
math_500,test/number_theory/466.json,True,stop,False,56,2658,55.65381803549826,0.19077034294605255,0.020874312266673772,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00011_2a302ad965bf.json.gz
math_500,test/geometry/880.json,True,length,True,167,16384,334.369887560606,0.1945747397840023,0.020397687408949643,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00012_ddc27cd7dc7e.json.gz
math_500,test/precalculus/779.json,True,stop,False,58,2007,38.407306065782905,0.15590367652475834,0.019068495707506555,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00013_1ce45577d321.json.gz
math_500,test/intermediate_algebra/1168.json,True,stop,False,77,2095,37.78540735505521,0.2499742042273283,0.017925230731054387,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00014_a6903a5c173f.json.gz
math_500,test/intermediate_algebra/966.json,True,stop,False,71,9402,187.3002456855029,0.20246053487062454,0.01990190247320841,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00015_073583dd5bb3.json.gz
math_500,test/prealgebra/1804.json,True,stop,False,338,1909,31.712069384753704,0.3445452731102705,0.01644000215494939,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00016_479e865ce381.json.gz
math_500,test/number_theory/203.json,True,stop,False,47,7571,137.1982013694942,0.17728311382234097,0.018100517603127062,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00017_19407cc7c7e6.json.gz
math_500,test/precalculus/1252.json,True,stop,False,84,4169,71.83291864581406,0.16321919299662113,0.01719522539654929,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00018_c6413f755504.json.gz
math_500,test/intermediate_algebra/591.json,True,stop,False,72,2404,42.00087200850248,0.19292222522199154,0.0173982312872578,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00019_e163cbd7af39.json.gz
math_500,test/number_theory/89.json,True,stop,False,52,4026,72.44305061362684,0.16803527809679508,0.01795652554920001,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00020_e91cf3157bab.json.gz
math_500,test/intermediate_algebra/128.json,True,stop,False,76,7259,131.57322904653847,0.1592201329767704,0.018106091060011258,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00021_4f9056e89995.json.gz
math_500,test/algebra/1937.json,True,stop,False,47,1837,35.50872962921858,0.1655592229217291,0.019250092813887173,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00022_1f48800fb5fe.json.gz
math_500,test/intermediate_algebra/1572.json,True,stop,False,89,1554,29.796719204634428,0.20217385701835155,0.019056371762792065,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00023_15c33d18eed8.json.gz
math_500,test/number_theory/417.json,True,stop,False,42,12551,227.43906787782907,0.16256217285990715,0.018109681729479615,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00024_4f43be77467d.json.gz
math_500,test/prealgebra/1747.json,True,stop,False,43,1721,32.90068952925503,0.1479412280023098,0.01904229552398414,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00025_90767d48348b.json.gz
math_500,test/geometry/226.json,True,stop,False,202,5426,103.06953565776348,0.19636833481490612,0.018962795819898355,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00026_c84d627b4682.json.gz
