dataset,case_id,http_success,finish_reason,is_length_capped,is_length_limit_termination,prompt_tokens,completion_tokens,e2e_s,ttft_s,tpot_s,token_count_source,answer_extraction,raw_response_file
math_500,test/intermediate_algebra/1232.json,True,length,True,True,56,2048,34.67642662487924,0.21599460393190384,0.01683460284364794,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00000_e59e6956285a.json.gz
math_500,test/precalculus/989.json,True,length,True,True,75,2048,34.697697162628174,0.22175128385424614,0.016842181670138703,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00001_efcc89122da6.json.gz
math_500,test/number_theory/1185.json,True,length,True,True,86,2048,34.71715523302555,0.22268894873559475,0.016851229254660458,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00002_4e9cb7337435.json.gz
math_500,test/geometry/434.json,True,length,True,True,173,2048,34.71666078083217,0.2221350073814392,0.016851258316292493,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00003_397436299cf0.json.gz
math_500,test/prealgebra/954.json,True,length,True,True,77,2048,34.71575412154198,0.2211561854928732,0.016851293569149536,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00004_abc07b8cf6cc.json.gz
math_500,test/intermediate_algebra/986.json,True,length,True,True,106,2048,34.71913990564644,0.2244752962142229,0.016851326140416328,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00005_c25cf2cd7750.json.gz
math_500,test/geometry/880.json,True,length,True,True,167,2048,34.7161977738142,0.22149351052939892,0.016851345512107867,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00006_ddc27cd7dc7e.json.gz
math_500,test/prealgebra/1640.json,True,length,True,True,59,2048,34.71619997546077,0.2214442454278469,0.016851370654632596,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00007_2108e189b5b8.json.gz
math_500,test/prealgebra/1356.json,True,stop,False,False,98,1271,19.619844038039446,0.12139342725276947,0.015353110717154863,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00008_ee962a54b3f1.json.gz
math_500,test/precalculus/779.json,True,stop,False,False,58,1736,28.015970470383763,0.11940589360892773,0.016078711571628147,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00009_1ce45577d321.json.gz
