dataset,case_id,http_success,finish_reason,is_length_capped,is_length_limit_termination,prompt_tokens,completion_tokens,e2e_s,ttft_s,tpot_s,token_count_source,answer_extraction,raw_response_file
math_500,test/geometry/880.json,True,length,True,True,167,2048,37.53248427249491,0.2153510171920061,0.018230157916611093,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00000_ddc27cd7dc7e.json.gz
math_500,test/intermediate_algebra/1232.json,True,length,True,True,56,2048,37.5516427308321,0.2220225390046835,0.018236258032157997,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00001_e59e6956285a.json.gz
math_500,test/prealgebra/1640.json,True,length,True,True,59,2048,37.550795666873455,0.22111237235367298,0.018236288859071706,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00002_2108e189b5b8.json.gz
math_500,test/prealgebra/954.json,True,length,True,True,77,2048,37.55082915909588,0.22106838785111904,0.01823632670798474,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00003_abc07b8cf6cc.json.gz
math_500,test/geometry/434.json,True,length,True,True,173,2048,37.551963625475764,0.22212768532335758,0.018236363429483343,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00004_397436299cf0.json.gz
math_500,test/precalculus/989.json,True,length,True,True,75,2048,37.551984598860145,0.2220611684024334,0.018236406170228488,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00005_efcc89122da6.json.gz
math_500,test/number_theory/1185.json,True,length,True,True,86,2048,37.55353128910065,0.22361540235579014,0.018236402484975503,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00006_4e9cb7337435.json.gz
math_500,test/intermediate_algebra/986.json,True,length,True,True,106,2048,37.55482601560652,0.22481854632496834,0.018236447224856647,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00007_c25cf2cd7750.json.gz
math_500,test/prealgebra/1356.json,True,length,True,True,98,2048,36.50971614010632,0.3121523316949606,0.017683226091065637,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00008_ee962a54b3f1.json.gz
math_500,test/algebra/1143.json,True,length,True,True,66,2048,36.51404555886984,0.2981380205601454,0.01769218736605261,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00009_ecff3a7b6952.json.gz
math_500,test/intermediate_algebra/966.json,True,length,True,True,71,2048,36.419671231880784,0.20384319685399532,0.017692148527125934,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00010_073583dd5bb3.json.gz
math_500,test/prealgebra/2086.json,True,length,True,True,56,2048,36.41961960121989,0.20372836850583553,0.017692179400446536,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00011_c41d44d9e74f.json.gz
math_500,test/number_theory/515.json,True,length,True,True,42,2048,36.41856709308922,0.2026299089193344,0.01769220184864186,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00012_58b5d6e1e2d0.json.gz
math_500,test/number_theory/466.json,True,length,True,True,56,2048,36.4185971096158,0.2026085052639246,0.017692226968418115,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00013_2a302ad965bf.json.gz
math_500,test/precalculus/779.json,True,length,True,True,58,2048,36.417946906760335,0.2019485868513584,0.01769223171465998,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00014_1ce45577d321.json.gz
math_500,test/number_theory/203.json,True,length,True,True,47,2048,36.41873263195157,0.20268508419394493,0.017692255763438018,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00015_19407cc7c7e6.json.gz
math_500,test/intermediate_algebra/1168.json,True,stop,False,False,77,1631,29.876238368451595,0.29861206747591496,0.018145783006733546,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00016_a6903a5c173f.json.gz
math_500,test/prealgebra/1804.json,True,stop,False,False,338,2043,37.70698724128306,0.2706269435584545,0.018333183299571305,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00017_479e865ce381.json.gz
