dataset,case_id,http_success,finish_reason,is_length_capped,is_length_limit_termination,prompt_tokens,completion_tokens,e2e_s,ttft_s,tpot_s,token_count_source,answer_extraction,raw_response_file
math_500,test/prealgebra/954.json,True,stop,False,False,77,2002,28.03714771568775,0.22210358455777168,0.013900571779675153,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00000_abc07b8cf6cc.json.gz
math_500,test/prealgebra/1640.json,True,length,True,True,59,2048,28.762402867898345,0.22956936061382294,0.01393885369188301,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00001_2108e189b5b8.json.gz
math_500,test/intermediate_algebra/986.json,True,length,True,True,106,2048,28.765243597328663,0.23231622017920017,0.013938899549169255,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00002_c25cf2cd7750.json.gz
math_500,test/precalculus/989.json,True,length,True,True,75,2048,28.76294682174921,0.22997653856873512,0.013938920509614301,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00003_efcc89122da6.json.gz
math_500,test/intermediate_algebra/1232.json,True,length,True,True,56,2048,28.76369236037135,0.2306595128029585,0.013938951073555639,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00004_e59e6956285a.json.gz
math_500,test/geometry/880.json,True,length,True,True,167,2048,28.763074217364192,0.22997245006263256,0.01393898474220887,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00005_ddc27cd7dc7e.json.gz
math_500,test/number_theory/1185.json,True,length,True,True,86,2048,28.764592675492167,0.23142939619719982,0.013939014792034668,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00006_4e9cb7337435.json.gz
math_500,test/geometry/434.json,True,length,True,True,173,2048,28.76390523277223,0.23072699829936028,0.013939022097934965,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00007_397436299cf0.json.gz
math_500,test/prealgebra/1356.json,True,stop,False,False,98,1816,25.026373328641057,0.08947621285915375,0.013739337253874327,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00008_ee962a54b3f1.json.gz
math_500,test/algebra/1143.json,True,length,True,True,66,2048,28.593461068347096,0.20677602663636208,0.013867457274895327,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00009_ecff3a7b6952.json.gz
math_500,test/intermediate_algebra/966.json,True,length,True,True,71,2048,28.49323653616011,0.10625919699668884,0.013867600067984086,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00010_073583dd5bb3.json.gz
math_500,test/prealgebra/2086.json,True,length,True,True,56,2048,28.49321019090712,0.10614608973264694,0.013867642452943075,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00011_c41d44d9e74f.json.gz
math_500,test/number_theory/515.json,True,length,True,True,42,2048,28.493257623165846,0.10611063614487648,0.013867682944318989,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00012_58b5d6e1e2d0.json.gz
math_500,test/number_theory/466.json,True,length,True,True,56,2048,28.492145903408527,0.10493619553744793,0.013867713584695202,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00013_2a302ad965bf.json.gz
math_500,test/number_theory/203.json,True,length,True,True,47,2048,28.492172226309776,0.1048969216644764,0.013867745630017244,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00014_19407cc7c7e6.json.gz
