dataset,case_id,http_success,finish_reason,is_length_capped,is_length_limit_termination,prompt_tokens,completion_tokens,e2e_s,ttft_s,tpot_s,token_count_source,answer_extraction,raw_response_file
humaneval,HumanEval/56,True,stop,False,False,121,1117,15.139646222814918,0.22168060392141342,0.013367352705101707,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00000_7450b50dff3a.json.gz
humaneval,HumanEval/50,True,stop,False,False,120,1260,17.175316894426942,0.23560336604714394,0.013454895574566956,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00001_6222b9f3308a.json.gz
humaneval,HumanEval/10,True,stop,False,False,171,1571,21.573249008506536,0.22243559174239635,0.013599244214499453,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00002_d505d82ce89e.json.gz
humaneval,HumanEval/38,True,stop,False,False,187,1717,23.65975988470018,0.22236660309135914,0.013658154593012133,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00003_bf9edc3d1d07.json.gz
humaneval,HumanEval/111,True,stop,False,False,180,1862,25.717757023870945,0.22172423638403416,0.013700178821862929,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00004_1bbc11f23e15.json.gz
humaneval,HumanEval/27,True,stop,False,False,77,2031,28.129543859511614,0.22330133616924286,0.013746917499183433,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00005_c717ba6bba56.json.gz
humaneval,HumanEval/127,True,length,True,True,283,2048,28.37807204015553,0.11376414448022842,0.013807673617818907,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00006_98b9a749f939.json.gz
humaneval,HumanEval/117,True,length,True,True,210,2048,28.397087996825576,0.2215155679732561,0.013764324586640116,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00007_09425deda7c0.json.gz
humaneval,HumanEval/26,True,stop,False,False,113,2008,28.331794714555144,0.07093622721731663,0.014081145235345205,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00008_76934f5896a1.json.gz
humaneval,HumanEval/161,True,stop,False,False,140,1420,20.01160554587841,0.09013620764017105,0.01403909044273308,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00009_1c7893647126.json.gz
humaneval,HumanEval/0,True,length,True,True,153,2048,28.934121316298842,0.07529101893305779,0.014098109573700921,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00010_d82bbe058f2c.json.gz
humaneval,HumanEval/159,True,stop,False,False,319,1327,18.70262122899294,0.16048695519566536,0.013983510010405183,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00011_13235ce0ad4b.json.gz
humaneval,HumanEval/101,True,stop,False,False,145,1874,26.48617340810597,0.07579385116696358,0.014100576378504542,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00012_a6de4bdc99c4.json.gz
humaneval,HumanEval/28,True,stop,False,False,86,364,5.283921221271157,0.08416457660496235,0.014324398470154808,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00013_88f399f279a6.json.gz
humaneval,HumanEval/115,True,stop,False,False,355,1857,26.176792912185192,0.11393400654196739,0.014042488634506047,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00014_80c54a50a177.json.gz
humaneval,HumanEval/69,True,length,True,True,194,2048,28.77970178425312,0.09459036961197853,0.014013244462452928,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00015_919a468f56b8.json.gz
humaneval,HumanEval/87,True,length,True,True,288,2048,28.782918360084295,0.1382017880678177,0.013993510782616745,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00016_8aac81389452.json.gz
humaneval,HumanEval/29,True,stop,False,False,116,927,13.000636657699943,0.09837794303894043,0.013933324745854214,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00017_1047455a5140.json.gz
humaneval,HumanEval/78,True,stop,False,False,344,1225,16.98825336806476,0.11110777407884598,0.013788517642145356,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00018_09b43a58cf00.json.gz
humaneval,HumanEval/61,True,stop,False,False,118,740,10.289493737742305,0.0643939096480608,0.013836400308652562,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00019_90114d6ec6ea.json.gz
humaneval,HumanEval/118,True,length,True,True,178,2048,28.659058645367622,0.08040599897503853,0.013961237247871317,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00020_8d3b1d30f7cd.json.gz
humaneval,HumanEval/55,True,stop,False,False,84,1293,18.07802763208747,0.076004508882761,0.013933454429725007,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00021_e5f5630acd2a.json.gz
