dataset,case_id,http_success,finish_reason,is_length_capped,is_length_limit_termination,prompt_tokens,completion_tokens,e2e_s,ttft_s,tpot_s,token_count_source,answer_extraction,raw_response_file
humaneval,HumanEval/56,True,stop,False,False,121,975,17.809807892888784,0.523768050596118,0.017747474170731692,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00000_7450b50dff3a.json.gz
humaneval,HumanEval/27,True,stop,False,False,77,1156,21.19975554384291,0.5249969009310007,0.017900223933257065,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00001_c717ba6bba56.json.gz
humaneval,HumanEval/38,True,stop,False,False,187,1394,25.823386665433645,0.5243556369096041,0.018161544169794718,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00002_bf9edc3d1d07.json.gz
humaneval,HumanEval/50,True,stop,False,False,120,2009,37.53144923783839,0.5246667768806219,0.01842967254031761,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00003_6222b9f3308a.json.gz
humaneval,HumanEval/117,True,length,True,True,210,2048,38.48738804459572,0.30487459152936935,0.018652913264810136,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00004_09425deda7c0.json.gz
humaneval,HumanEval/127,True,length,True,True,283,2048,38.511688062921166,0.5264246072620153,0.018556552738475403,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00005_98b9a749f939.json.gz
humaneval,HumanEval/10,True,length,True,True,171,2048,38.50953024439514,0.5243145748972893,0.018556529393990155,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00006_d505d82ce89e.json.gz
humaneval,HumanEval/111,True,length,True,True,180,2048,38.50878901593387,0.523533346131444,0.01855654893493035,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00007_1bbc11f23e15.json.gz
humaneval,HumanEval/0,True,stop,False,False,153,1328,27.16735710389912,0.19486986845731735,0.020325913515781315,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00008_d82bbe058f2c.json.gz
humaneval,HumanEval/28,True,stop,False,False,86,390,7.21693760715425,0.14624178782105446,0.018176595936589192,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00009_88f399f279a6.json.gz
humaneval,HumanEval/26,True,length,True,True,113,2048,40.704951379448175,0.13327663578093052,0.019820065824947358,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00010_76934f5896a1.json.gz
humaneval,HumanEval/159,True,stop,False,False,319,1109,22.572737868875265,2.142321465536952,0.018439003974132052,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00011_13235ce0ad4b.json.gz
humaneval,HumanEval/161,True,stop,False,False,140,1342,27.39141253568232,0.19832956418395042,0.020278212506710195,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00012_1c7893647126.json.gz
humaneval,HumanEval/101,True,length,True,True,145,2048,41.00822643190622,0.1957195494323969,0.019937717089630595,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00013_a6de4bdc99c4.json.gz
humaneval,HumanEval/29,True,stop,False,False,116,768,14.677085548639297,0.1469429600983858,0.018944123322739127,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00014_1047455a5140.json.gz
humaneval,HumanEval/115,True,stop,False,False,355,2022,40.132174991071224,2.1503285635262728,0.018793590513381964,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00015_80c54a50a177.json.gz
humaneval,HumanEval/69,True,length,True,True,194,2048,40.64319905079901,2.127639528363943,0.01881561285903032,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00016_919a468f56b8.json.gz
humaneval,HumanEval/87,True,length,True,True,288,2048,40.61444484256208,2.0767515264451504,0.018826425655162154,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00017_8aac81389452.json.gz
humaneval,HumanEval/78,True,stop,False,False,344,1101,20.824389677494764,0.2588852755725384,0.018695913092656568,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00018_09b43a58cf00.json.gz
humaneval,HumanEval/118,True,length,True,True,178,2048,39.18401907943189,0.13344056904315948,0.019076980220023805,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00019_8d3b1d30f7cd.json.gz
humaneval,HumanEval/61,True,stop,False,False,118,959,18.26495403982699,0.1516360640525818,0.018907430037342805,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00020_90114d6ec6ea.json.gz
humaneval,HumanEval/105,True,length,True,True,308,2048,39.209092086181045,0.32184294424951077,0.018997190592052533,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00021_be1eb3b9b637.json.gz
humaneval,HumanEval/39,True,length,True,True,128,2048,38.765482537448406,0.14587444067001343,0.018866442646203418,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00022_72b6acc2e3e0.json.gz
humaneval,HumanEval/123,True,length,True,True,261,2048,39.164856089279056,0.32214633747935295,0.018975432218759015,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00023_de60c03a27b2.json.gz
humaneval,HumanEval/95,True,length,True,True,202,2048,38.76373617723584,0.1538777705281973,0.018861679729705736,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00024_f8853c706dc1.json.gz
humaneval,HumanEval/55,True,length,True,True,84,2048,38.69729330390692,0.17385028675198555,0.018819464102176324,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00025_e5f5630acd2a.json.gz
humaneval,HumanEval/60,True,stop,False,False,133,1003,18.13466851785779,0.2095972876995802,0.017889292644868472,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00026_3cb575d5ce14.json.gz
humaneval,HumanEval/113,True,length,True,True,211,2048,38.07123606838286,0.19507998786866665,0.01850325162702208,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00027_987722152444.json.gz
humaneval,HumanEval/19,True,stop,False,False,134,1063,17.818442080169916,0.18298472836613655,0.016605892045012977,evalscope_fallback_or_missing,closed_think_delimiter,raw_responses/00028_2a6bdf94f301.json.gz
humaneval,HumanEval/71,True,length,True,True,152,2048,36.5145345274359,0.21039995178580284,0.017735288019369855,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00029_af92df87a5f0.json.gz
humaneval,HumanEval/134,True,length,True,True,166,2048,35.75775841996074,0.1952992770820856,0.017372964896374524,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00030_c6ecb6589022.json.gz
humaneval,HumanEval/86,True,length,True,True,159,2048,34.791306307539344,0.20871361158788204,0.016894280750342678,evalscope_fallback_or_missing,no_closed_think_or_server_reasoning_channel,raw_responses/00031_5a55b87f192c.json.gz
